,name,overall_score,position_score,height,weight,pref_foot,birthdate,age,pref_pos,work_rate,weak_foot,skill_moves,wage,joined_club,contract_expires,Ball Control,Dribbling,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,GK Positioning,GK Diving,GK Handling,GK Kicking,GK Reflexes,ball_skill_avg,mental_avg,passing_avg,physical_avg,shooting_avg,goalkeeper_avg
10,Rodri,89,90,191.0,82.0,1,3340,28.0,108,6,4.0,3.0,250.0,1211,4,88,79,78,87,83,89,75,84,82,85,63,89,90,54,89,83,64,62,65,80,81,91,64,82,65,61,62,59,14,10,10,7,8,83.5,83.0,80.66666666666667,71.0,70.625,9.8
11,Alisson,89,90,193.0,91.0,1,5358,31.0,258,8,3.0,1.0,180.0,1091,4,42,27,16,19,27,87,13,11,66,66,17,60,58,60,32,78,37,49,40,82,29,64,13,14,19,18,23,20,90,86,85,85,89,34.5,45.0,45.0,54.0,25.0,87.0
12,Mohamed Salah,89,89,175.0,71.0,0,3207,32.0,572,2,3.0,4.0,260.0,1005,2,86,88,41,43,63,93,92,55,84,90,80,84,77,89,87,75,91,89,89,80,59,82,92,84,84,69,81,83,11,14,14,9,14,87.0,79.5,80.33333333333333,85.71428571428571,79.25,12.4
13,Virgil van Dijk,89,89,193.0,92.0,1,3076,33.0,61,6,3.0,2.0,220.0,763,2,76,70,86,91,85,88,47,88,65,89,53,79,86,66,72,93,50,87,59,89,86,81,52,64,60,70,62,45,11,13,10,13,11,73.0,77.0,72.66666666666667,73.71428571428571,65.0,11.6
14,Casemiro,89,89,185.0,84.0,1,1793,32.0,99,6,3.0,2.0,235.0,214,3,79,69,88,89,91,90,77,89,79,85,68,84,85,60,88,88,65,66,61,85,84,88,69,81,77,74,66,68,12,13,14,16,12,74.0,85.16666666666667,79.0,73.28571428571429,75.875,13.4
15,Marc-André ter Stegen,89,89,187.0,85.0,1,410,32.0,258,8,4.0,1.0,225.0,1002,2,30,21,10,13,43,85,11,22,70,70,18,61,63,45,35,78,43,50,39,72,11,67,14,10,18,12,25,14,86,86,85,89,91,25.5,50.16666666666666,47.333333333333336,51.71428571428572,21.375,87.4
16,Neymar Jr,89,89,175.0,68.0,1,1948,32.0,368,2,5.0,5.0,200.0,284,2,94,95,29,32,63,88,86,37,90,93,83,85,81,88,78,51,83,85,93,72,63,79,83,81,88,87,91,86,15,9,9,15,11,94.5,76.16666666666667,83.0,78.57142857142857,82.25,11.8
17,Federico Valverde,88,92,182.0,78.0,1,2825,26.0,243,0,4.0,3.0,270.0,1122,4,88,83,79,85,81,89,86,83,86,84,78,87,88,84,89,80,68,91,77,80,59,89,79,87,74,69,59,70,15,6,10,6,8,85.5,84.83333333333333,84.33333333333333,81.28571428571429,73.25,9.0
18,Victor Osimhen,88,91,185.0,78.0,1,1381,25.0,656,2,4.0,3.0,120.0,1971,2,86,83,22,45,68,89,90,34,70,80,62,74,54,87,81,86,68,92,78,94,84,86,91,77,63,52,75,83,9,14,14,10,6,84.5,71.83333333333333,63.333333333333336,83.71428571428571,76.375,10.6
19,Bernardo Silva,88,88,173.0,64.0,0,551,30.0,243,0,3.0,4.0,270.0,1005,2,91,92,60,76,78,89,85,73,87,89,84,91,82,78,93,54,92,61,95,66,54,79,78,79,84,67,68,78,12,9,10,14,9,91.5,83.5,85.66666666666667,77.0,73.375,10.8
20,Joshua Kimmich,88,89,177.0,75.0,1,2004,29.0,131,2,4.0,3.0,130.0,1003,2,85,82,78,84,88,88,80,85,85,86,91,88,91,77,94,68,84,65,84,78,72,78,68,83,85,76,69,69,15,8,15,7,15,83.5,85.33333333333333,90.0,78.57142857142857,75.0,12.0
21,Bruno Fernandes,88,88,179.0,69.0,1,6163,29.0,12,0,3.0,4.0,260.0,932,3,88,81,65,74,84,91,88,66,94,82,87,90,92,74,95,66,79,68,78,73,66,88,83,88,86,85,90,87,8,12,14,15,14,84.5,84.16666666666667,89.66666666666667,76.14285714285714,84.125,12.6
22,Ederson,88,90,188.0,86.0,0,663,31.0,258,8,3.0,1.0,205.0,1005,3,40,23,8,15,38,87,20,27,70,70,20,61,65,64,44,78,48,63,60,79,14,68,14,18,15,20,51,18,86,86,82,91,86,31.5,52.0,48.66666666666666,62.285714285714285,27.25,86.2
23,Jan Oblak,88,88,188.0,87.0,1,2543,31.0,258,8,3.0,1.0,90.0,1062,5,30,12,18,14,36,85,11,24,67,68,13,43,40,42,42,78,48,53,64,72,15,59,11,12,13,14,11,13,86,85,90,78,87,21.0,48.5,32.0,57.0,18.5,85.2
24,Antoine Griezmann,88,88,176.0,73.0,0,3842,33.0,667,0,3.0,4.0,135.0,1819,3,89,88,60,63,74,90,90,57,88,89,82,89,86,80,86,69,84,80,89,85,85,85,90,87,89,85,79,85,13,14,8,14,14,88.5,81.33333333333333,85.66666666666667,81.85714285714286,85.625,12.6
25,Gregor Kobel,87,90,195.0,88.0,1,1471,26.0,258,8,3.0,1.0,65.0,1009,3,34,24,15,15,24,85,10,14,59,66,13,39,33,38,30,81,29,52,37,71,13,56,10,10,13,12,12,10,85,86,84,74,89,29.0,43.0,28.33333333333333,48.285714285714285,17.0,83.6
26,Lautaro Martínez,87,90,174.0,72.0,1,769,26.0,656,2,4.0,4.0,150.0,1219,3,86,84,44,31,90,88,90,45,78,86,58,75,73,83,80,84,89,77,86,93,86,85,90,78,78,54,74,91,8,11,8,8,13,85.0,79.5,68.66666666666667,84.57142857142857,79.5,9.6
27,Gianluigi Donnarumma,87,90,196.0,90.0,1,1838,25.0,258,8,3.0,1.0,90.0,1059,3,30,28,16,14,30,84,14,26,60,65,12,36,34,50,34,72,38,55,64,71,12,59,12,18,12,14,24,8,83,90,82,79,89,29.0,46.5,27.33333333333333,54.85714285714285,19.875,84.6
28,Frenkie de Jong,87,90,181.0,74.0,1,4222,27.0,177,2,3.0,4.0,240.0,1007,3,89,87,77,76,74,88,77,82,88,90,78,91,89,80,89,74,79,83,87,82,72,68,72,66,84,64,53,70,10,7,13,10,9,88.0,83.16666666666667,86.0,82.0,68.625,9.8
29,Martin Ødegaard,87,90,178.0,68.0,0,1176,25.0,12,2,2.0,5.0,170.0,228,3,89,86,54,55,64,84,83,66,89,86,85,90,87,74,81,56,82,71,85,66,55,82,82,83,83,85,63,79,8,14,15,15,10,87.5,78.66666666666667,87.33333333333333,73.57142857142857,76.5,12.4
30,Mike Maignan,87,89,191.0,89.0,1,2960,29.0,258,8,4.0,1.0,90.0,1009,3,40,31,19,16,35,85,15,25,65,68,18,65,61,50,39,78,56,53,41,75,17,65,15,20,38,16,15,16,85,85,82,87,89,35.5,48.833333333333336,48.0,56.0,25.25,85.6
31,Marquinhos,87,88,183.0,75.0,1,4251,30.0,61,6,3.0,3.0,140.0,1089,5,79,69,88,89,81,86,70,89,76,86,68,84,85,76,83,78,67,80,68,89,88,65,59,45,58,32,52,35,10,6,6,12,13,74.0,81.33333333333333,79.0,77.28571428571429,54.25,9.4
32,Heung Min Son,87,87,183.0,78.0,1,3077,32.0,368,2,5.0,4.0,170.0,272,2,82,87,33,34,62,89,90,39,81,87,83,82,72,85,88,64,74,88,81,78,68,88,89,89,87,74,73,79,6,11,13,13,10,84.5,74.66666666666667,79.0,79.71428571428571,80.875,10.6
33,Luka Modrić,87,87,172.0,66.0,1,6176,38.0,177,8,4.0,4.0,190.0,142,1,90,84,72,73,62,85,76,80,91,92,86,91,92,75,83,58,92,70,92,67,55,79,72,82,85,78,83,76,14,13,9,7,9,87.0,81.0,89.66666666666667,76.71428571428571,76.25,10.4
34,Manuel Neuer,87,87,193.0,93.0,1,3948,38.0,258,8,4.0,1.0,55.0,999,1,46,30,11,10,29,84,12,30,70,70,15,60,68,48,43,80,35,50,51,77,25,68,13,16,14,11,47,11,88,84,85,90,84,38.0,49.16666666666666,47.66666666666666,54.85714285714285,25.625,86.2
35,Jamal Musiala,86,93,184.0,72.0,1,1862,21.0,15,8,4.0,5.0,80.0,1383,3,89,94,68,63,59,86,81,65,82,84,67,82,77,84,78,53,92,86,93,65,49,73,79,75,69,51,55,70,8,6,9,8,11,91.5,76.16666666666667,75.33333333333333,78.71428571428571,65.125,8.4
36,Ronald Araujo,86,91,188.0,79.0,1,4118,25.0,84,6,3.0,2.0,175.0,278,3,68,55,86,86,87,84,56,85,59,76,58,76,66,71,73,87,55,85,56,90,85,61,56,35,47,45,43,38,11,11,14,9,8,61.5,74.5,66.66666666666667,73.85714285714286,51.25,10.6
37,Jude Bellingham,86,91,186.0,75.0,1,3472,21.0,177,0,4.0,4.0,175.0,1011,6,85,86,77,79,85,86,79,82,84,81,66,87,86,77,93,75,79,75,81,79,69,78,77,74,73,49,57,71,5,14,11,10,8,85.5,82.83333333333333,79.66666666666667,79.85714285714286,68.5,9.6
38,Pedri,86,92,174.0,60.0,1,4982,21.0,177,0,4.0,4.0,165.0,313,3,88,87,65,77,62,87,79,73,88,87,68,88,86,81,87,73,90,76,88,73,50,68,72,68,79,62,53,56,8,12,7,11,8,87.5,79.33333333333333,80.66666666666667,81.14285714285714,63.5,9.2
39,Khvicha Kvaratskhelia,86,92,183.0,70.0,1,1589,23.0,436,8,5.0,5.0,95.0,1010,4,88,89,34,39,62,84,84,40,86,82,78,83,76,83,79,70,73,84,85,77,62,78,82,83,82,65,65,64,14,9,15,8,8,88.5,73.0,79.0,78.71428571428571,72.625,10.8
40,Bukayo Saka,86,90,178.0,65.0,0,6123,22.0,636,2,3.0,3.0,150.0,1996,4,87,89,60,62,68,85,82,62,83,80,83,81,69,88,84,63,86,82,85,70,45,78,83,79,81,69,82,79,9,7,8,13,13,88.0,76.66666666666667,77.66666666666667,79.71428571428571,74.5,10.0
41,Rafael Leão,86,91,188.0,81.0,1,3135,25.0,415,7,4.0,4.0,110.0,148,5,87,89,21,24,60,84,84,24,75,83,78,80,63,93,77,80,80,93,85,85,65,80,84,74,80,60,63,74,11,10,12,15,9,88.0,68.33333333333333,73.66666666666667,84.71428571428571,72.5,11.4
42,Sandro Tonali,86,89,181.0,79.0,1,4668,24.0,108,6,4.0,3.0,140.0,1190,5,85,78,81,84,84,83,75,84,79,84,78,85,83,81,86,82,83,86,81,84,70,82,69,83,75,81,64,68,7,13,9,8,7,81.5,81.5,82.0,83.28571428571429,74.0,8.8
43,Éder Militão,86,89,186.0,78.0,1,2209,26.0,61,6,3.0,2.0,210.0,1007,2,72,70,85,87,84,85,64,86,59,74,69,78,76,82,85,79,62,88,70,92,87,62,48,42,60,40,60,34,12,11,8,15,15,71.0,75.33333333333333,74.33333333333333,79.71428571428571,54.125,12.2
44,Matthijs de Ligt,86,89,189.0,89.0,1,590,25.0,61,6,3.0,2.0,85.0,1094,4,73,65,88,85,86,85,44,82,45,82,52,79,78,62,75,91,62,70,53,88,85,84,50,75,48,55,40,45,12,12,11,11,10,69.0,70.66666666666667,69.66666666666667,71.57142857142857,60.25,11.2
45,Christopher Nkunku,86,88,175.0,73.0,1,4783,26.0,146,8,3.0,5.0,185.0,1011,6,88,89,54,64,59,85,86,64,84,81,81,85,80,81,78,64,90,82,88,74,61,79,86,78,82,80,67,70,15,5,6,10,7,88.5,76.5,82.0,79.57142857142857,75.375,8.6
46,Ousmane Dembélé,86,87,178.0,67.0,0,4274,27.0,623,2,5.0,5.0,245.0,273,1,87,89,33,30,54,80,80,36,83,81,86,80,76,94,68,52,81,93,90,65,43,83,75,76,82,64,75,76,10,6,6,14,13,88.0,69.0,80.66666666666667,77.57142857142857,71.75,9.8
47,Trent Alexander-Arnold,86,88,180.0,69.0,1,5644,25.0,450,2,4.0,3.0,140.0,1905,2,84,78,78,83,69,84,78,83,90,82,93,88,91,73,89,66,72,79,72,74,69,82,62,75,87,85,55,63,6,14,15,14,7,81.0,81.0,90.66666666666669,75.0,72.25,11.2
48,Nicolò Barella,86,88,175.0,68.0,1,1988,27.0,177,0,3.0,3.0,135.0,1971,3,87,81,81,79,84,89,83,83,83,86,79,86,83,79,94,73,90,78,90,73,53,77,78,79,79,67,73,80,14,11,5,13,11,84.0,84.66666666666667,82.66666666666667,82.42857142857143,73.25,10.8
49,Sergej Milinković-Savić,86,86,192.0,95.0,1,1872,29.0,177,2,5.0,4.0,85.0,1036,3,87,85,74,79,79,84,82,79,83,84,71,86,86,66,91,87,63,70,62,88,86,83,82,81,81,78,59,74,16,7,10,7,7,86.0,81.83333333333333,81.0,75.28571428571429,78.0,9.4
50,Andrew Robertson,86,86,178.0,64.0,0,3650,30.0,259,0,2.0,3.0,170.0,1114,3,83,81,81,83,85,85,80,83,82,83,87,82,76,82,95,65,74,78,75,77,67,76,55,65,82,71,55,32,7,11,8,10,14,82.0,83.0,81.66666666666667,78.0,62.875,10.0
51,N'Golo Kanté,86,86,168.0,70.0,1,3988,33.0,108,6,3.0,2.0,75.0,1011,3,81,78,85,90,89,89,72,88,77,84,68,80,74,74,84,70,92,64,78,70,54,71,64,65,49,49,54,56,7,15,12,10,10,79.5,83.16666666666667,74.0,76.0,57.75,10.8
52,Paulo Dybala,86,86,177.0,75.0,0,4795,30.0,140,1,3.0,4.0,130.0,1111,2,93,90,39,41,43,79,82,42,91,79,82,86,79,84,72,60,90,76,88,73,58,84,83,89,89,88,87,90,5,5,4,4,8,91.5,69.33333333333333,82.33333333333333,77.57142857142857,83.5,5.2
53,João Cancelo,86,86,182.0,74.0,1,4496,30.0,294,1,4.0,4.0,195.0,331,4,86,85,79,83,76,84,81,81,85,85,87,87,79,86,88,62,78,77,79,80,72,80,69,79,87,69,52,62,14,6,9,15,14,85.5,82.0,84.33333333333333,78.57142857142857,71.25,11.6
54,Sadio Mané,86,86,174.0,69.0,1,23,32.0,153,8,4.0,4.0,85.0,152,4,86,87,38,42,75,88,85,35,83,84,78,83,71,84,79,70,88,85,87,85,79,85,85,78,77,64,75,75,7,10,10,15,14,86.5,75.0,77.33333333333333,82.57142857142857,77.25,11.2
55,Riyad Mahrez,86,86,179.0,67.0,0,1757,33.0,549,8,4.0,5.0,70.0,1174,4,91,89,22,31,48,84,84,39,84,81,80,83,75,84,75,57,88,75,91,71,56,82,81,82,85,80,73,76,11,15,9,13,6,90.0,70.0,79.33333333333333,77.28571428571429,76.875,10.8
56,Marco Verratti,86,86,165.0,60.0,1,5100,31.0,194,6,4.0,4.0,135.0,1081,3,92,91,84,82,89,84,78,85,89,93,82,90,89,64,75,52,93,51,91,61,57,60,60,58,85,64,64,64,15,12,12,15,10,91.5,86.33333333333333,87.0,69.57142857142857,64.0,12.8
57,Parejo,86,86,182.0,74.0,1,127,35.0,194,8,4.0,3.0,65.0,171,1,86,81,71,73,59,79,81,80,90,85,86,92,90,53,75,70,72,46,62,66,61,81,83,88,88,91,88,72,14,5,9,12,8,83.5,79.0,89.33333333333333,63.42857142857143,81.5,9.6
58,İlkay Gündoğan,86,86,180.0,80.0,1,5436,33.0,194,2,4.0,4.0,225.0,1011,2,91,86,67,75,70,86,84,75,86,87,77,88,84,65,75,73,77,60,77,67,50,79,82,80,86,80,80,75,5,11,14,5,13,88.5,81.33333333333333,83.0,70.57142857142857,76.5,9.6
59,Wojciech Szczęsny,86,86,195.0,90.0,1,162,34.0,258,8,3.0,1.0,125.0,1090,2,22,11,12,13,40,82,14,15,48,65,12,32,36,51,45,65,51,47,55,70,16,55,12,14,16,14,18,14,86,86,83,73,87,16.5,44.0,26.666666666666668,54.85714285714285,19.875,83.0
60,Toni Kroos,86,86,183.0,76.0,1,2486,34.0,194,8,5.0,3.0,240.0,1072,1,88,80,60,70,68,88,74,80,89,88,88,92,92,55,75,72,71,48,63,61,58,89,76,85,86,84,73,82,7,10,11,13,10,84.0,81.16666666666667,90.66666666666669,63.57142857142857,79.125,10.2
61,Cristiano Ronaldo,86,86,187.0,85.0,1,1944,39.0,656,1,4.0,5.0,65.0,2150,347,86,77,24,32,62,87,90,29,76,92,76,76,70,73,77,76,61,80,76,93,87,92,87,85,79,75,90,83,14,7,11,15,11,81.5,72.66666666666667,74.0,76.57142857142857,84.75,11.6
62,Florian Wirtz,85,91,176.0,72.0,1,4554,21.0,12,2,4.0,4.0,65.0,941,4,89,87,44,57,63,85,80,45,88,83,77,88,81,78,83,53,85,70,86,59,39,74,78,75,80,64,60,73,6,14,14,13,10,88.0,74.0,82.0,73.42857142857143,67.875,11.4
63,Rodrygo,85,91,174.0,64.0,1,2587,23.0,633,8,4.0,4.0,210.0,1007,5,87,86,30,34,53,84,83,21,82,81,79,80,73,89,81,55,84,88,87,75,67,76,87,77,80,73,81,67,8,9,8,12,5,86.5,67.33333333333333,77.33333333333333,79.85714285714286,76.0,8.4
64,Jules Koundé,85,89,180.0,75.0,1,4752,25.0,84,0,3.0,3.0,160.0,1173,4,77,72,84,86,78,86,47,86,62,82,62,82,75,85,78,80,74,83,71,90,80,48,47,40,42,26,43,32,14,11,10,8,13,74.5,73.5,73.0,80.14285714285714,44.75,11.2
65,Phil Foden,85,90,171.0,69.0,0,4516,24.0,436,0,3.0,4.0,180.0,505,4,90,88,47,59,64,81,83,59,84,81,78,86,82,86,83,47,91,77,91,63,47,83,81,78,75,68,64,59,10,8,15,6,13,89.0,75.33333333333333,82.0,76.85714285714286,69.375,10.4
66,Alessandro Bastoni,85,90,190.0,75.0,0,82,25.0,61,6,3.0,2.0,95.0,302,5,76,73,83,87,83,86,39,87,69,84,70,78,82,68,81,83,57,77,58,86,83,49,26,37,53,36,47,35,11,11,5,9,12,74.5,74.66666666666667,76.66666666666667,72.85714285714286,45.75,9.6
67,Declan Rice,85,87,185.0,80.0,1,2141,25.0,108,6,3.0,2.0,130.0,1061,5,79,80,82,84,84,83,58,86,78,83,55,83,84,67,91,79,65,74,55,79,72,78,61,65,68,65,71,50,5,8,11,14,9,79.5,78.66666666666667,74.0,72.85714285714286,66.25,9.4
68,Theo Hernández,85,90,184.0,81.0,0,5629,26.0,274,2,3.0,3.0,90.0,1220,3,79,83,80,81,82,85,80,78,73,80,84,79,68,92,90,81,76,94,78,90,74,83,67,71,69,64,50,66,7,12,10,7,7,81.0,79.66666666666667,77.0,85.85714285714286,68.0,8.6
69,Marcus Rashford,85,88,186.0,70.0,1,5581,26.0,429,1,3.0,5.0,185.0,1746,5,84,86,33,38,69,86,87,39,79,82,77,79,72,88,76,73,73,91,81,87,76,93,86,80,84,77,85,74,7,11,6,15,14,85.0,73.66666666666667,76.0,81.28571428571429,81.875,10.6
70,André Onana,85,86,190.0,93.0,1,205,28.0,258,8,3.0,1.0,130.0,1112,5,38,26,14,18,32,84,11,15,64,64,15,43,53,62,38,79,53,60,66,80,20,66,12,17,30,17,27,13,84,83,80,88,85,32.0,45.0,37.0,62.57142857142857,25.25,84.0
71,Diogo Jota,85,87,178.0,68.0,1,1438,27.0,154,0,5.0,4.0,180.0,2017,4,84,85,45,57,85,88,87,56,78,80,73,77,72,85,79,71,85,80,86,90,86,86,85,76,77,58,69,79,9,7,12,15,11,84.5,79.0,74.0,82.28571428571429,77.0,10.8
72,Marcos Acuña,85,85,172.0,69.0,0,5505,32.0,274,0,3.0,3.0,46.0,1997,1,84,82,84,85,83,84,80,81,82,86,86,84,77,76,91,82,90,75,83,80,61,83,66,81,88,75,76,67,13,8,14,13,14,83.0,82.66666666666667,82.33333333333333,82.42857142857143,74.625,12.4
73,Giovanni Di Lorenzo,85,85,183.0,83.0,1,940,31.0,450,2,3.0,3.0,85.0,1007,5,79,78,81,83,78,84,71,83,66,77,80,80,74,85,90,78,78,85,78,88,76,72,66,69,69,69,59,60,10,8,10,8,7,78.5,76.5,78.0,83.14285714285714,67.5,8.6
74,Kingsley Coman,85,85,181.0,75.0,1,3180,28.0,345,8,3.0,5.0,100.0,291,4,87,88,21,27,38,85,83,23,82,78,81,80,74,92,69,66,84,86,92,79,61,83,75,73,83,70,65,78,3,5,3,5,5,87.5,64.83333333333333,78.33333333333333,81.14285714285714,73.5,4.2
75,Aymeric Laporte,85,86,191.0,85.0,0,4496,30.0,61,8,3.0,2.0,180.0,930,2,78,64,85,86,79,86,54,87,68,84,58,83,81,55,67,82,54,65,57,82,84,68,45,47,61,69,44,40,14,10,11,5,5,71.0,76.33333333333333,74.0,66.0,57.25,9.0
76,Domenico Berardi,85,85,183.0,72.0,0,532,30.0,636,2,3.0,4.0,40.0,1000,4,87,86,30,30,85,85,86,25,83,78,78,85,79,82,78,64,87,82,92,75,62,83,85,80,78,75,76,78,5,5,6,5,6,86.5,73.66666666666667,80.66666666666667,80.0,77.125,5.4
77,Thomas Partey,85,85,185.0,77.0,1,3177,31.0,108,6,3.0,3.0,150.0,1901,1,84,84,79,85,84,82,70,82,85,87,74,86,86,60,79,84,50,74,63,77,68,86,66,78,69,70,49,56,9,11,13,9,7,84.0,81.66666666666667,82.0,69.57142857142857,67.75,9.8
78,Yassine Bounou,85,85,195.0,78.0,0,442,33.0,258,8,2.0,1.0,37.0,2071,2,12,20,15,18,25,81,10,12,62,57,15,39,44,38,43,69,29,37,47,66,14,59,14,19,12,19,24,13,84,82,83,79,87,16.0,41.16666666666666,32.666666666666664,47.0,21.75,83.0
79,Leon Goretzka,85,85,189.0,82.0,1,1968,29.0,194,2,4.0,3.0,100.0,1006,3,84,84,76,83,82,85,84,85,82,82,75,85,83,75,83,89,73,80,75,92,86,85,81,86,76,73,60,71,11,13,8,15,9,84.0,83.33333333333333,81.0,81.0,77.25,11.2
80,Hakan Çalhanoğlu,85,85,178.0,76.0,1,2003,30.0,194,2,4.0,4.0,130.0,1009,4,88,85,65,70,76,86,74,76,88,85,78,88,87,72,80,55,79,62,83,64,53,86,75,87,85,85,81,74,6,9,14,11,10,86.5,80.83333333333333,84.33333333333333,70.71428571428571,78.25,10.0
81,Jack Grealish,85,85,180.0,81.0,1,5705,28.0,422,0,3.0,4.0,200.0,320,4,90,89,48,54,65,84,82,49,87,88,83,85,81,79,83,71,85,74,84,71,48,76,76,79,83,74,58,72,10,11,6,11,13,89.5,75.83333333333333,83.0,78.14285714285714,70.75,10.2
82,Antonio Rüdiger,85,85,190.0,85.0,1,4007,31.0,61,0,3.0,2.0,200.0,1010,3,71,64,83,84,91,83,49,82,61,78,68,80,82,71,70,91,50,91,56,90,81,84,40,67,50,56,40,34,12,14,15,10,8,67.5,74.0,76.66666666666667,74.14285714285714,56.5,11.8
83,John Stones,85,86,188.0,76.0,1,4511,30.0,84,2,4.0,3.0,180.0,343,3,84,75,84,86,80,86,52,84,78,87,63,86,79,67,74,77,59,76,66,84,84,55,54,44,52,37,52,44,10,7,15,11,8,79.5,77.83333333333333,76.0,71.85714285714286,52.75,10.2
84,Emiliano Martínez,85,85,195.0,88.0,1,5878,31.0,258,8,4.0,1.0,100.0,2005,4,38,17,20,20,37,82,12,13,66,62,22,57,59,59,40,70,49,57,49,77,26,62,16,16,22,20,42,13,84,83,83,82,85,27.5,45.333333333333336,46.0,57.285714285714285,27.125,83.4
85,Raphaël Varane,85,85,191.0,81.0,1,306,31.0,61,6,4.0,2.0,160.0,1162,2,76,61,83,87,78,86,55,85,59,82,42,78,76,75,65,84,39,83,62,90,85,52,46,53,46,52,43,42,5,11,11,9,14,68.5,74.16666666666667,65.33333333333333,71.14285714285714,52.375,10.0
86,David Alaba,85,85,180.0,78.0,0,3374,32.0,71,6,4.0,3.0,200.0,1009,3,85,77,83,84,78,88,73,87,78,85,83,89,80,79,73,78,78,79,76,86,77,82,63,78,77,85,79,67,15,5,7,14,9,81.0,81.5,84.0,78.42857142857143,76.0,10.0
87,Keylor Navas,85,85,185.0,80.0,1,1132,37.0,258,8,3.0,1.0,60.0,2020,1,30,24,14,14,32,80,16,22,64,63,11,40,37,54,39,75,61,53,60,73,11,56,15,13,21,15,25,11,84,84,80,75,87,27.0,46.16666666666666,29.33333333333333,59.285714285714285,20.875,82.0
88,Iago Aspas,85,85,176.0,67.0,0,526,37.0,656,0,4.0,3.0,38.0,1003,2,87,87,18,21,63,86,88,39,81,85,80,80,73,78,69,60,72,84,87,79,77,81,90,80,79,83,82,84,12,12,16,9,13,87.0,73.66666666666667,77.66666666666667,75.57142857142857,82.0,12.4
